c_Municipio,c_Estado,Descripción,Fecha de inicio de vigencia,Fecha de fin de vigencia
005,COL,Cuauhtémoc,01/01/2022,
005,CHH,Ascensión,01/01/2022,
005,CHP,Amatán,01/01/2022,
005,CMX,Gustavo A. Madero,01/01/2022,
005,DUR,Durango,01/01/2022,
005,GRO,Alpoyeca,01/01/2022,
005,GUA,Apaseo el Grande,01/01/2022,
005,HID,Ajacuba,01/01/2022,
005,JAL,Amatitán,01/01/2022,
005,MEX,Almoloya de Juárez,01/01/2022,
005,MIC,Angangueo,01/01/2022,
005,MOR,Coatlán del Río,01/01/2022,
005,NAY,Huajicori,01/01/2022,
005,NLE,Anáhuac,01/01/2022,
005,OAX,Asunción Ixtaltepec,01/01/2022,
005,PUE,Acteopan,01/01/2022,
005,QUE,Colón,01/01/2022,
005,ROO,Benito Juárez,01/01/2022,
005,SIN,Cosalá,01/01/2022,
005,SLP,Cárdenas,01/01/2022,
005,SON,Arivechi,01/01/2022,
005,TAB,Comalcalco,01/01/2022,
005,TAM,Burgos,01/01/2022,
005,TLA,Apizaco,01/01/2022,
005,VER,Acula,01/01/2022,
005,YUC,Bokobá,01/01/2022,
005,ZAC,Calera,01/01/2022,
006,AGU,Pabellón de Arteaga,01/01/2022,
006,CAM,Hopelchén,01/01/2022,
006,COA,Castaños,01/01/2022,
006,COL,Ixtlahuacán,01/01/2022,
006,CHH,Bachíniva,01/01/2022,
006,CHP,Amatenango de la Frontera,01/01/2022,
006,CMX,Iztacalco,01/01/2022,
006,DUR,General Simón Bolívar,01/01/2022,
006,GRO,Apaxtla,01/01/2022,
006,GUA,Atarjea,01/01/2022,
006,HID,Alfajayucan,01/01/2022,
006,JAL,Ameca,01/01/2022,
006,MEX,Almoloya del Río,01/01/2022,
006,MIC,Apatzingán,01/01/2022,
006,MOR,Cuautla,01/01/2022,
006,NAY,Ixtlán del Río,01/01/2022,
006,NLE,Apodaca,01/01/2022,
006,OAX,Asunción Nochixtlán,01/01/2022,
006,PUE,Ahuacatlán,01/01/2022,
006,QUE,Corregidora,01/01/2022,
006,ROO,José María Morelos,01/01/2022,
006,SIN,Culiacán,01/01/2022,
006,SLP,Catorce,01/01/2022,
006,SON,Arizpe,01/01/2022,
006,TAB,Cunduacán,01/01/2022,
006,TAM,Bustamante,01/01/2022,
006,TLA,Calpulalpan,01/01/2022,
006,VER,Acultzingo,01/01/2022,
006,YUC,Buctzotz,01/01/2022,
006,ZAC,Cañitas de Felipe Pescador,01/01/2022,
007,AGU,Rincón de Romos,01/01/2022,
007,CAM,Palizada,01/01/2022,
007,COA,Cuatro Ciénegas,01/01/2022,
007,COL,Manzanillo,01/01/2022,
007,CHH,Balleza,01/01/2022,
007,CHP,Amatenango del Valle,01/01/2022,
007,CMX,Iztapalapa,01/01/2022,
007,DUR,Gómez Palacio,01/01/2022,
007,GRO,Arcelia,01/01/2022,
007,GUA,Celaya,01/01/2022,
007,HID,Almoloya,01/01/2022,
007,JAL,San Juanito de Escobedo,01/01/2022,
007,MEX,Amanalco,01/01/2022,
007,MIC,Aporo,01/01/2022,
007,MOR,Cuernavaca,01/01/2022,
007,NAY,Jala,01/01/2022,
007,NLE,Aramberri,01/01/2022,
007,OAX,Asunción Ocotlán,01/01/2022,
007,PUE,Ahuatlán,01/01/2022,
007,QUE,Ezequiel Montes,01/01/2022,
007,ROO,Lázaro Cárdenas,01/01/2022,
007,SIN,Choix,01/01/2022,
007,SLP,Cedral,01/01/2022,
007,SON,Atil,01/01/2022,
007,TAB,Emiliano Zapata,01/01/2022,
007,TAM,Camargo,01/01/2022,
007,TLA,El Carmen Tequexquitla,01/01/2022,
007,VER,Camarón de Tejeda,01/01/2022,
007,YUC,Cacalchén,01/01/2022,
007,ZAC,Concepción del Oro,01/01/2022,
008,AGU,San José de Gracia,01/01/2022,
008,BCS,Los Cabos,01/01/2022,
008,CAM,Tenabo,01/01/2022,
008,COA,Escobedo,01/01/2022,
008,COL,Minatitlán,01/01/2022,
008,CHH,Batopilas,01/01/2022,
008,CHP,Angel Albino Corzo,01/01/2022,
008,CMX,La Magdalena Contreras,01/01/2022,
008,DUR,Guadalupe Victoria,01/01/2022,
008,GRO,Atenango del Río,01/01/2022,
008,GUA,Manuel Doblado,01/01/2022,
008,HID,Apan,01/01/2022,
008,JAL,Arandas,01/01/2022,
008,MEX,Amatepec,01/01/2022,
008,MIC,Aquila,01/01/2022,
008,MOR,Emiliano Zapata,01/01/2022,
008,NAY,Xalisco,01/01/2022,
008,NLE,Bustamante,01/01/2022,
008,OAX,Asunción Tlacolulita,01/01/2022,
008,PUE,Ahuazotepec,01/01/2022,
008,QUE,Huimilpan,01/01/2022,
008,ROO,Solidaridad,01/01/2022,
008,SIN,Elota,01/01/2022,
008,SLP,Cerritos,01/01/2022,
008,SON,Bacadéhuachi,01/01/2022,
008,TAB,Huimanguillo,01/01/2022,
008,TAM,Casas,01/01/2022,
008,TLA,Cuapiaxtla,01/01/2022,
008,VER,Alpatláhuac,01/01/2022,
008,YUC,Calotmul,01/01/2022,
008,ZAC,Cuauhtémoc,01/01/2022,
009,AGU,Tepezalá,01/01/2022,
009,BCS,Loreto,01/01/2022,
009,CAM,Escárcega,01/01/2022,
009,COA,Francisco I. Madero,01/01/2022,
009,COL,Tecomán,01/01/2022,
009,CHH,Bocoyna,01/01/2022,
009,CHP,Arriaga,01/01/2022,
009,CMX,Milpa Alta,01/01/2022,
009,DUR,Guanaceví,01/01/2022,
009,GRO,Atlamajalcingo del Monte,01/01/2022,
009,GUA,Comonfort,01/01/2022,
009,HID,El Arenal,01/01/2022,
009,JAL,El Arenal,01/01/2022,
009,MEX,Amecameca,01/01/2022,
009,MIC,Ario,01/01/2022,
009,MOR,Huitzilac,01/01/2022,
009,NAY,Del Nayar,01/01/2022,
009,NLE,Cadereyta Jiménez,01/01/2022,
009,OAX,Ayotzintepec,01/01/2022,
009,PUE,Ahuehuetitla,01/01/2022,
009,QUE,Jalpan de Serra,01/01/2022,
009,ROO,Tulum,01/01/2022,
009,SIN,Escuinapa,01/01/2022,
009,SLP,Cerro de San Pedro,01/01/2022,
009,SON,Bacanora,01/01/2022,
009,TAB,Jalapa,01/01/2022,
009,TAM,Ciudad Madero,01/01/2022,
009,TLA,Cuaxomulco,01/01/2022,
009,VER,Alto Lucero de Gutiérrez Barrios,01/01/2022,
009,YUC,Cansahcab,01/01/2022,
009,ZAC,Chalchihuites,01/01/2022,
010,AGU,El Llano,01/01/2022,
010,CAM,Calakmul,01/01/2022,
010,COA,Frontera,01/01/2022,
010,COL,Villa de Álvarez,01/01/2022,
010,CHH,Buenaventura,01/01/2022,
010,CHP,Bejucal de Ocampo,01/01/2022,
010,CMX,Álvaro Obregón,01/01/2022,
010,DUR,Hidalgo,01/01/2022,
010,GRO,Atlixtac,01/01/2022,
010,GUA,Coroneo,01/01/2022,
010,HID,Atitalaquia,01/01/2022,
010,JAL,Atemajac de Brizuela,01/01/2022,
010,MEX,Apaxco,01/01/2022,
010,MIC,Arteaga,01/01/2022,
010,MOR,Jantetelco,01/01/2022,
010,NAY,Rosamorada,01/01/2022,
010,NLE,El Carmen,01/01/2022,
010,OAX,El Barrio de la Soledad,01/01/2022,
010,PUE,Ajalpan,01/01/2022,
010,QUE,Landa de Matamoros,01/01/2022,
010,ROO,Bacalar,01/01/2022,
010,SIN,El Fuerte,01/01/2022,
010,SLP,Ciudad del Maíz,01/01/2022,
010,SON,Bacerac,01/01/2022,
010,TAB,Jalpa de Méndez,01/01/2022,
010,TAM,Cruillas,01/01/2022,
010,TLA,Chiautempan,01/01/2022,
010,VER,Altotonga,01/01/2022,
010,YUC,Cantamayec,01/01/2022,
010,ZAC,Fresnillo,01/01/2022,
011,AGU,San Francisco de los Romo,01/01/2022,
011,CAM,Candelaria,01/01/2022,
011,COA,General Cepeda,01/01/2022,
011,CHH,Camargo,01/01/2022,
011,CHP,Bella Vista,01/01/2022,
011,CMX,Tláhuac,01/01/2022,
011,DUR,Indé,01/01/2022,
011,GRO,Atoyac de Álvarez,01/01/2022,
011,GUA,Cortazar,01/01/2022,
011,HID,Atlapexco,01/01/2022,
011,JAL,Atengo,01/01/2022,
011,MEX,Atenco,01/01/2022,
011,MIC,Briseñas,01/01/2022,
011,MOR,Jiutepec,01/01/2022,
011,NAY,Ruíz,01/01/2022,
011,NLE,Cerralvo,01/01/2022,
011,OAX,Calihualá,01/01/2022,
011,PUE,Albino Zertuche,01/01/2022,
011,QUE,El Marqués,01/01/2022,
011,ROO,Puerto Morelos,01/01/2022,
011,SIN,Guasave,01/01/2022,
011,SLP,Ciudad Fernández,01/01/2022,
011,SON,Bacoachi,01/01/2022,
011,TAB,Jonuta,01/01/2022,
011,TAM,Gómez Farías,01/01/2022,
011,TLA,Muñoz de Domingo Arenas,01/01/2022,
011,VER,Alvarado,01/01/2022,
011,YUC,Celestún,01/01/2022,
011,ZAC,Trinidad García de la Cadena,01/01/2022,
012,COA,Guerrero,01/01/2022,
012,CHH,Carichí,01/01/2022,
012,CHP,Berriozábal,01/01/2022,
012,CMX,Tlalpan,01/01/2022,
012,DUR,Lerdo,01/01/2022,
012,GRO,Ayutla de los Libres,01/01/2022,
012,GUA,Cuerámaro,01/01/2022,
012,HID,Atotonilco el Grande,01/01/2022,
012,JAL,Atenguillo,01/01/2022,
012,MEX,Atizapán,01/01/2022,
012,MIC,Buenavista,01/01/2022,
012,MOR,Jojutla,01/01/2022,
012,NAY,San Blas,01/01/2022,
012,NLE,Ciénega de Flores,01/01/2022,
012,OAX,Candelaria Loxicha,01/01/2022,
012,PUE,Aljojuca,01/01/2022,
012,QUE,Pedro Escobedo,01/01/2022,
012,SIN,Mazatlán,01/01/2022,
012,SLP,Tancanhuitz,01/01/2022,
012,SON,Bácum,01/01/2022,
012,TAB,Macuspana,01/01/2022,
012,TAM,González,01/01/2022,
012,TLA,Españita,01/01/2022,
012,VER,Amatitlán,01/01/2022,
012,YUC,Cenotillo,01/01/2022,
012,ZAC,Genaro Codina,01/01/2022,
013,COA,Hidalgo,01/01/2022,
013,CHH,Casas Grandes,01/01/2022,
013,CHP,Bochil,01/01/2022,
013,CMX,Xochimilco,01/01/2022,
013,DUR,Mapimí,01/01/2022,
013,GRO,Azoyú,01/01/2022,
013,GUA,Doctor Mora,01/01/2022,
013,HID,Atotonilco de Tula,01/01/2022,
013,JAL,Atotonilco el Alto,01/01/2022,
013,MEX,Atizapán de Zaragoza,01/01/2022,
013,MIC,Carácuaro,01/01/2022,
013,MOR,Jonacatepec,01/01/2022,
013,NAY,San Pedro Lagunillas,01/01/2022,
013,NLE,China,01/01/2022,
013,OAX,Ciénega de Zimatlán,01/01/2022,
013,PUE,Altepexi,01/01/2022,
013,QUE,Peñamiller,01/01/2022,
013,SIN,Mocorito,01/01/2022,
013,SLP,Ciudad Valles,01/01/2022,
013,SON,Banámichi,01/01/2022,
013,TAB,Nacajuca,01/01/2022,
013,TAM,Güémez,01/01/2022,
013,TLA,Huamantla,01/01/2022,
013,VER,Naranjos Amatlán,01/01/2022,
013,YUC,Conkal,01/01/2022,
013,ZAC,General Enrique Estrada,01/01/2022,
014,COA,Jiménez,01/01/2022,
014,CHH,Coronado,01/01/2022,
014,CHP,El Bosque,01/01/2022,
014,CMX,Benito Juárez,01/01/2022,
014,DUR,Mezquital,01/01/2022,
014,GRO,Benito Juárez,01/01/2022,
014,GUA,Dolores Hidalgo Cuna de la Independencia Nacional,01/01/2022,
014,HID,Calnali,01/01/2022,
014,JAL,Atoyac,01/01/2022,
014,MEX,Atlacomulco,01/01/2022,
014,MIC,Coahuayana,01/01/2022,
014,MOR,Mazatepec,01/01/2022,
014,NAY,Santa María del Oro,01/01/2022,
014,NLE,Doctor Arroyo,01/01/2022,
014,OAX,Ciudad Ixtepec,01/01/2022,
014,PUE,Amixtlán,01/01/2022,
014,QUE,Querétaro,01/01/2022,
014,SIN,Rosario,01/01/2022,
014,SLP,Coxcatlán,01/01/2022,
014,SON,Baviácora,01/01/2022,
014,TAB,Paraíso,01/01/2022,
014,TAM,Guerrero,01/01/2022,
014,TLA,Hueyotlipan,01/01/2022,
014,VER,Amatlán de los Reyes,01/01/2022,
014,YUC,Cuncunul,01/01/2022,
014,ZAC,General Francisco R. Murguía,01/01/2022,
015,COA,Juárez,01/01/2022,
015,CHH,Coyame del Sotol,01/01/2022,
015,CHP,Cacahoatán,01/01/2022,
015,CMX,Cuauhtémoc,01/01/2022,
015,DUR,Nazas,01/01/2022,
015,GRO,Buenavista de Cuéllar,01/01/2022,
015,GUA,Guanajuato,01/01/2022,
015,HID,Cardonal,01/01/2022,
