c_CodigoPostal,c_Estado,c_Municipio,c_Localidad,Estímulo Franja Fronteriza,Fecha inicio de vigencia ,Fecha fin de vigencia ,Descripción del Huso Horario,Mes_Inicio_Horario_Verano,Día_Inicio_Horario_Verano,Día_Inicio_Horario_Verano,Diferencia_Horaria_Verano,Mes_Inicio_Horario_Invierno,Día_Inicio_Horario_Invierno,Día_Inicio_Horario_Invierno,Diferencia_Horaria_Invierno
20072,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20073,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20074,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20075,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20076,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20077,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20078,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20079,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20080,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20081,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20082,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20083,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20084,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20085,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20086,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20087,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20088,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20089,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20090,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20091,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20092,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20093,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20094,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20095,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20096,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20097,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20098,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20099,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20100,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20101,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20102,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20103,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20104,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20105,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20106,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20107,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20108,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20109,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20110,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20111,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20112,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20113,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20114,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20115,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20116,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20117,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20118,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20119,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
